character_id,character_name,character_status,character_species,episode_name,episode_code,episode_air_date,dimension
3,Summer Smith,Alive,Human,Pickle Rick,S03E03,"August 6, 2017",Replacement Dimension
3,Summer Smith,Alive,Human,Vindicators 3: The Return of Worldender,S03E04,"August 13, 2017",Replacement Dimension
3,Summer Smith,Alive,Human,The Whirly Dirly Conspiracy,S03E05,"August 20, 2017",Replacement Dimension
3,Summer Smith,Alive,Human,Rest and Ricklaxation,S03E06,"August 27, 2017",Replacement Dimension
3,Summer Smith,Alive,Human,Morty's Mind Blowers,S03E08,"September 17, 2017",Replacement Dimension
3,Summer Smith,Alive,Human,The ABC's of Beth,S03E09,"September 24, 2017",Replacement Dimension
3,Summer Smith,Alive,Human,The Rickchurian Mortydate,S03E10,"October 1, 2017",Replacement Dimension
3,Summer Smith,Alive,Human,"Edge of Tomorty: Rick, Die, Rickpeat",S04E01,"November 10, 2019",Replacement Dimension
3,Summer Smith,Alive,Human,The Old Man and the Seat,S04E02,"November 17, 2019",Replacement Dimension
3,Summer Smith,Alive,Human,One Crew Over the Crewcoo's Morty,S04E03,"November 24, 2019",Replacement Dimension
3,Summer Smith,Alive,Human,Claw and Hoarder: Special Ricktim's Morty,S04E04,"December 8, 2019",Replacement Dimension
3,Summer Smith,Alive,Human,Rattlestar Ricklactica,S04E05,"December 15, 2019",Replacement Dimension
3,Summer Smith,Alive,Human,Promortyus,S04E07,"May 10, 2020",Replacement Dimension
3,Summer Smith,Alive,Human,The Vat of Acid Episode,S04E08,"May 17, 2020",Replacement Dimension
3,Summer Smith,Alive,Human,Childrick of Mort,S04E09,"May 24, 2020",Replacement Dimension
3,Summer Smith,Alive,Human,Star Mort: Rickturn of the Jerri,S04E10,"May 31, 2020",Replacement Dimension
3,Summer Smith,Alive,Human,Mort Dinner Rick Andre,S05E01,"June 20, 2021",Replacement Dimension
3,Summer Smith,Alive,Human,Mortyplicity,S05E02,"June 27, 2021",Replacement Dimension
3,Summer Smith,Alive,Human,A Rickconvenient Mort,S05E03,"July 4, 2021",Replacement Dimension
3,Summer Smith,Alive,Human,Rickdependence Spray,S05E04,"July 11, 2021",Replacement Dimension
3,Summer Smith,Alive,Human,Amortycan Grickfitti,S05E05,"July 18, 2021",Replacement Dimension
3,Summer Smith,Alive,Human,Rick & Morty's Thanksploitation Spectacular,S05E06,"July 25, 2021",Replacement Dimension
3,Summer Smith,Alive,Human,Gotron Jerrysis Rickvangelion,S05E07,"August 1, 2021",Replacement Dimension
3,Summer Smith,Alive,Human,Rickternal Friendshine of the Spotless Mort,S05E08,"August 8, 2021",Replacement Dimension
3,Summer Smith,Alive,Human,Rickmurai Jack,S05E10,"September 5, 2021",Replacement Dimension
4,Beth Smith,Alive,Human,Rick Potion #9,S01E06,"January 27, 2014",Replacement Dimension
4,Beth Smith,Alive,Human,Raising Gazorpazorp,S01E07,"March 10, 2014",Replacement Dimension
4,Beth Smith,Alive,Human,Rixty Minutes,S01E08,"March 17, 2014",Replacement Dimension
4,Beth Smith,Alive,Human,Something Ricked This Way Comes,S01E09,"March 24, 2014",Replacement Dimension
4,Beth Smith,Alive,Human,Close Rick-counters of the Rick Kind,S01E10,"April 7, 2014",Replacement Dimension
4,Beth Smith,Alive,Human,Ricksy Business,S01E11,"April 14, 2014",Replacement Dimension
4,Beth Smith,Alive,Human,A Rickle in Time,S02E01,"July 26, 2015",Replacement Dimension
4,Beth Smith,Alive,Human,Auto Erotic Assimilation,S02E03,"August 9, 2015",Replacement Dimension
4,Beth Smith,Alive,Human,Total Rickall,S02E04,"August 16, 2015",Replacement Dimension
4,Beth Smith,Alive,Human,Get Schwifty,S02E05,"August 23, 2015",Replacement Dimension
4,Beth Smith,Alive,Human,Big Trouble in Little Sanchez,S02E07,"September 13, 2015",Replacement Dimension
4,Beth Smith,Alive,Human,Interdimensional Cable 2: Tempting Fate,S02E08,"September 20, 2015",Replacement Dimension
4,Beth Smith,Alive,Human,Look Who's Purging Now,S02E09,"September 27, 2015",Replacement Dimension
4,Beth Smith,Alive,Human,The Wedding Squanchers,S02E10,"October 4, 2015",Replacement Dimension
4,Beth Smith,Alive,Human,The Rickshank Rickdemption,S03E01,"April 1, 2017",Replacement Dimension
4,Beth Smith,Alive,Human,Rickmancing the Stone,S03E02,"July 30, 2017",Replacement Dimension
4,Beth Smith,Alive,Human,Pickle Rick,S03E03,"August 6, 2017",Replacement Dimension
4,Beth Smith,Alive,Human,Vindicators 3: The Return of Worldender,S03E04,"August 13, 2017",Replacement Dimension
4,Beth Smith,Alive,Human,The Whirly Dirly Conspiracy,S03E05,"August 20, 2017",Replacement Dimension
4,Beth Smith,Alive,Human,Rest and Ricklaxation,S03E06,"August 27, 2017",Replacement Dimension
4,Beth Smith,Alive,Human,The Ricklantis Mixup,S03E07,"September 10, 2017",Replacement Dimension
4,Beth Smith,Alive,Human,Morty's Mind Blowers,S03E08,"September 17, 2017",Replacement Dimension
4,Beth Smith,Alive,Human,The ABC's of Beth,S03E09,"September 24, 2017",Replacement Dimension
4,Beth Smith,Alive,Human,The Rickchurian Mortydate,S03E10,"October 1, 2017",Replacement Dimension
4,Beth Smith,Alive,Human,"Edge of Tomorty: Rick, Die, Rickpeat",S04E01,"November 10, 2019",Replacement Dimension
4,Beth Smith,Alive,Human,The Old Man and the Seat,S04E02,"November 17, 2019",Replacement Dimension
4,Beth Smith,Alive,Human,One Crew Over the Crewcoo's Morty,S04E03,"November 24, 2019",Replacement Dimension
4,Beth Smith,Alive,Human,Claw and Hoarder: Special Ricktim's Morty,S04E04,"December 8, 2019",Replacement Dimension
4,Beth Smith,Alive,Human,Rattlestar Ricklactica,S04E05,"December 15, 2019",Replacement Dimension
4,Beth Smith,Alive,Human,Promortyus,S04E07,"May 10, 2020",Replacement Dimension
4,Beth Smith,Alive,Human,The Vat of Acid Episode,S04E08,"May 17, 2020",Replacement Dimension
4,Beth Smith,Alive,Human,Childrick of Mort,S04E09,"May 24, 2020",Replacement Dimension
4,Beth Smith,Alive,Human,Star Mort: Rickturn of the Jerri,S04E10,"May 31, 2020",Replacement Dimension
4,Beth Smith,Alive,Human,Mort Dinner Rick Andre,S05E01,"June 20, 2021",Replacement Dimension
4,Beth Smith,Alive,Human,Mortyplicity,S05E02,"June 27, 2021",Replacement Dimension
4,Beth Smith,Alive,Human,A Rickconvenient Mort,S05E03,"July 4, 2021",Replacement Dimension
4,Beth Smith,Alive,Human,Rickdependence Spray,S05E04,"July 11, 2021",Replacement Dimension
4,Beth Smith,Alive,Human,Amortycan Grickfitti,S05E05,"July 18, 2021",Replacement Dimension
4,Beth Smith,Alive,Human,Rick & Morty's Thanksploitation Spectacular,S05E06,"July 25, 2021",Replacement Dimension
4,Beth Smith,Alive,Human,Gotron Jerrysis Rickvangelion,S05E07,"August 1, 2021",Replacement Dimension
4,Beth Smith,Alive,Human,Rickternal Friendshine of the Spotless Mort,S05E08,"August 8, 2021",Replacement Dimension
4,Beth Smith,Alive,Human,Rickmurai Jack,S05E10,"September 5, 2021",Replacement Dimension
5,Jerry Smith,Alive,Human,Rick Potion #9,S01E06,"January 27, 2014",Replacement Dimension
5,Jerry Smith,Alive,Human,Raising Gazorpazorp,S01E07,"March 10, 2014",Replacement Dimension
5,Jerry Smith,Alive,Human,Rixty Minutes,S01E08,"March 17, 2014",Replacement Dimension
5,Jerry Smith,Alive,Human,Something Ricked This Way Comes,S01E09,"March 24, 2014",Replacement Dimension
5,Jerry Smith,Alive,Human,Close Rick-counters of the Rick Kind,S01E10,"April 7, 2014",Replacement Dimension
5,Jerry Smith,Alive,Human,Ricksy Business,S01E11,"April 14, 2014",Replacement Dimension
5,Jerry Smith,Alive,Human,A Rickle in Time,S02E01,"July 26, 2015",Replacement Dimension
5,Jerry Smith,Alive,Human,Mortynight Run,S02E02,"August 2, 2015",Replacement Dimension
5,Jerry Smith,Alive,Human,Auto Erotic Assimilation,S02E03,"August 9, 2015",Replacement Dimension
5,Jerry Smith,Alive,Human,Total Rickall,S02E04,"August 16, 2015",Replacement Dimension
5,Jerry Smith,Alive,Human,Get Schwifty,S02E05,"August 23, 2015",Replacement Dimension
5,Jerry Smith,Alive,Human,Big Trouble in Little Sanchez,S02E07,"September 13, 2015",Replacement Dimension
5,Jerry Smith,Alive,Human,Interdimensional Cable 2: Tempting Fate,S02E08,"September 20, 2015",Replacement Dimension
5,Jerry Smith,Alive,Human,Look Who's Purging Now,S02E09,"September 27, 2015",Replacement Dimension
5,Jerry Smith,Alive,Human,The Wedding Squanchers,S02E10,"October 4, 2015",Replacement Dimension
5,Jerry Smith,Alive,Human,The Rickshank Rickdemption,S03E01,"April 1, 2017",Replacement Dimension
5,Jerry Smith,Alive,Human,Rickmancing the Stone,S03E02,"July 30, 2017",Replacement Dimension
5,Jerry Smith,Alive,Human,The Whirly Dirly Conspiracy,S03E05,"August 20, 2017",Replacement Dimension
5,Jerry Smith,Alive,Human,Morty's Mind Blowers,S03E08,"September 17, 2017",Replacement Dimension
